fecha,tipo_vuelo,categoria,aeronave,semana,num_operaciones
2022-04-22,Salida,FAM,Avión,5,1
2022-04-23,Llegada,Comercial,Avión,5,6
2022-04-23,Llegada,Privado,Avión,5,1
2022-04-23,Salida,Comercial,Avión,5,6
2022-04-23,Salida,Privado,Avión,5,1
2022-04-24,Llegada,Comercial,Avión,5,6
2022-04-24,Llegada,Privado,Avión,5,1
2022-04-24,Salida,Comercial,Avión,5,6
2022-04-24,Salida,Privado,Avión,5,1
2022-04-25,Llegada,Comercial,Avión,6,6
2022-04-25,Salida,Comercial,Avión,6,6
2022-04-25,Salida,Privado,Avión,6,1
2022-04-26,Llegada,Comercial,Avión,6,7
2022-04-26,Salida,Comercial,Avión,6,6
2022-04-27,Llegada,Comercial,Avión,6,6
2022-04-27,Salida,Comercial,Avión,6,7
2022-04-28,Llegada,Comercial,Avión,6,5
2022-04-28,Salida,Comercial,Avión,6,5
2022-04-29,Llegada,Comercial,Avión,6,6
2022-04-29,Salida,Comercial,Avión,6,6
2022-04-30,Llegada,Comercial,Avión,6,4
2022-04-30,Salida,Comercial,Avión,6,4
2022-05-01,Llegada,Comercial,Avión,6,5
2022-05-01,Llegada,Privado,Avión,6,1
2022-05-01,Salida,Comercial,Avión,6,6
2022-05-01,Salida,Privado,Avión,6,1
2022-05-02,Llegada,Comercial,Avión,7,5
2022-05-02,Llegada,FAM,Avión,7,1
2022-05-02,Salida,Comercial,Avión,7,5
2022-05-02,Salida,FAM,Avión,7,1
2022-05-03,Llegada,Comercial,Avión,7,6
2022-05-03,Salida,Comercial,Avión,7,6
2022-05-04,Llegada,Comercial,Avión,7,6
2022-05-04,Llegada,FAM,Avión,7,1
2022-05-04,Llegada,Privado,Avión,7,1
2022-05-04,Salida,Comercial,Avión,7,6
2022-05-04,Salida,FAM,Avión,7,1
2022-05-04,Salida,Privado,Avión,7,2
2022-05-05,Llegada,Comercial,Avión,7,6
2022-05-05,Llegada,Privado,Avión,7,1
2022-05-05,Salida,Comercial,Avión,7,6
2022-05-05,Salida,FAM,Avión,7,1
2022-05-06,Llegada,Comercial,Avión,7,5
2022-05-06,Llegada,FAM,Avión,7,2
2022-05-06,Llegada,Privado,Avión,7,1
2022-05-06,Salida,Comercial,Avión,7,5
2022-05-06,Salida,FAM,Avión,7,1
2022-05-06,Salida,Privado,Avión,7,1
2022-05-07,Llegada,Comercial,Avión,7,6
2022-05-07,Salida,Comercial,Avión,7,6
2022-05-07,Salida,FAM,Avión,7,1
2022-05-08,Llegada,Comercial,Avión,7,5
2022-05-08,Salida,Comercial,Avión,7,5
2022-05-09,Llegada,Comercial,Avión,8,6
2022-05-09,Llegada,FAM,Avión,8,1
2022-05-09,Salida,Comercial,Avión,8,6
2022-05-09,Salida,Privado,Avión,8,1
2022-05-10,Llegada,Comercial,Avión,8,7
2022-05-10,Salida,Comercial,Avión,8,6
2022-05-11,Llegada,Comercial,Avión,8,6
2022-05-11,Llegada,Privado,Avión,8,1
2022-05-11,Salida,Comercial,Avión,8,7
2022-05-11,Salida,Privado,Avión,8,1
2022-05-12,Llegada,Comercial,Avión,8,6
2022-05-12,Llegada,Privado,Avión,8,1
2022-05-12,Salida,Comercial,Avión,8,6
2022-05-12,Salida,Privado,Avión,8,1
2022-05-13,Llegada,Comercial,Avión,8,6
2022-05-13,Salida,Comercial,Avión,8,6
2022-05-13,Salida,Privado,Avión,8,1
2022-05-14,Llegada,Carga,Avión,8,1
