año,mes,mes_numero,tipo,origen,destino,compañia,tipo_avion,capacidad,fuente
2023,Enero,1,Llegada,La Habana,AIFA,Viva Aerobus,A320,180,https://www.seatguru.com/airlines/Viva_Aerobus/Viva_Aerobus_Airbus_A320.php
2022,Marzo,3,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Abril,4,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Mayo,5,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Junio,6,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Julio,7,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Agosto,8,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Cancún,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Marzo,3,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airbus_A320neo.php
2022,Abril,4,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airbus_A320neo.php
2022,Mayo,5,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airbus_A320neo.php
2022,Junio,6,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airbus_A320neo.php
2022,Julio,7,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airbus_A320neo.php
2022,Agosto,8,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airbus_A320neo.php
2022,Septiembre,9,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Tijuana,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Agosto,8,Salida,AIFA,Huatulco,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Huatulco,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Huatulco,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Huatulco,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Huatulco,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Huatulco,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Agosto,8,Salida,AIFA,Mérida,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Mérida,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Octubre,10,Salida,AIFA,Mérida,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Noviembre,11,Salida,AIFA,Mérida,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Diciembre,12,Salida,AIFA,Mérida,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2023,Enero,1,Salida,AIFA,Mérida,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Agosto,8,Salida,AIFA,Mexicali,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
2022,Septiembre,9,Salida,AIFA,Mexicali,Volaris,A320 y A320neo,180,https://www.seatguru.com/airlines/Volaris/Volaris_Airlines_Airbus_A320.php
